ck_oo_numberOfPrivateMethods,LDHH_lcom,LDHH_fanIn,numberOfNonTrivialBugsFoundUntil:,WCHU_numberOfPublicAttributes,WCHU_numberOfAttributes,CvsWEntropy,LDHH_numberOfPublicMethods,WCHU_fanIn,LDHH_numberOfPrivateAttributes,CvsEntropy,LDHH_numberOfPublicAttributes,WCHU_numberOfPrivateMethods,WCHU_numberOfMethods,ck_oo_numberOfPublicAttributes,ck_oo_noc,numberOfCriticalBugsFoundUntil:,ck_oo_wmc,LDHH_numberOfPrivateMethods,WCHU_numberOfPrivateAttributes,CvsLogEntropy,WCHU_noc,LDHH_numberOfAttributesInherited,WCHU_wmc,ck_oo_fanOut,ck_oo_numberOfLinesOfCode,ck_oo_numberOfAttributesInherited,ck_oo_numberOfMethods,ck_oo_dit,ck_oo_fanIn,LDHH_noc,WCHU_dit,ck_oo_lcom,WCHU_numberOfAttributesInherited,ck_oo_rfc,LDHH_wmc,LDHH_numberOfAttributes,LDHH_numberOfLinesOfCode,WCHU_fanOut,WCHU_lcom,ck_oo_cbo,WCHU_rfc,ck_oo_numberOfAttributes,numberOfHighPriorityBugsFoundUntil:,ck_oo_numberOfPrivateAttributes,numberOfMajorBugsFoundUntil:,WCHU_numberOfPublicMethods,LDHH_dit,WCHU_cbo,CvsLinEntropy,WCHU_numberOfMethodsInherited,numberOfBugsFoundUntil:,LDHH_fanOut,LDHH_numberOfMethodsInherited,LDHH_rfc,ck_oo_numberOfMethodsInherited,ck_oo_numberOfPublicMethods,LDHH_cbo,WCHU_numberOfLinesOfCode,CvsExpEntropy,LDHH_numberOfMethods,class
0,0.003605,0,9,1.01,1.01,0.016689,0.003978,0,0,6.71691,0,0,2.02,1,0,0,15,0,0,0.199952,0,0,3.03,3,61,1,5,3,1,0,1.01,10,0,19,0.006669,0.000894,0.006465,0,2.07,3,3.07,3,0,2,0,2.02,0.001152,0,0.024071,4.08,9,0,0.017531,0.006204,35,5,0,3.15,0.052329,0.003909,clean
0,0,0.001563,3,0,0,0.070134,0,1.01,0,6.09962,0,0,0,0,0,0,14,0,0,0.157212,2.02,0,1.06,1,58,0,8,2,0,0.002256,0,28,0,18,0.000519,0,0.000995,1.01,0,1,1.05,4,0,3,0,0,0,2.02,0.012771,3.03,3,0.000404,0.008406,0.000632,24,7,0.002029,2.34,0.00759,0,clean
0,0,0,1,0,0,0.02192,0,0,0,3.66829,0,0,0,0,0,0,1,0,0,0.206585,0,0,0,2,10,0,2,1,1,0,0,1,0,6,0,0,0,1.01,0,3,0,0,0,0,0,0,0,1.01,0.056403,3.03,1,0.03059,0.010398,0,10,2,0.037887,0,0.108521,0,clean
0,0,0,0,0,1.01,0,0,0,0.013591,0,0,0,0,0,0,0,7,0,1.01,0,0,0,1.01,4,22,1,3,3,1,0,0,3,0,9,0.014478,0.012527,0.017307,2.02,0,5,1.04,1,0,1,0,0,0,2.02,0,5.05,0,0.02301,0.024375,0.019225,16,3,0.017274,1.04,0,0,clean
0,0,0,1,0,0,0.010665,0,0,0,2.55041,0,0,0,0,0,0,17,0,0,0.174739,0,0,0,0,51,0,18,1,3,0,0,153,0,20,0,0,0,0,0,3,0,8,0,8,0,0,0,0,0.053311,3.03,1,0,0.010398,0,9,18,0,0,0.10691,0,clean
0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,12,0,0,0,0,0,0,8,72,0,5,2,1,0,0,10,0,23,0,0,0,0,0,9,0,14,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,clean
0,0.011708,0.049736,2,0,0,0.009695,0.015802,2.03,0,2.2048,0,0,1.01,0,0,0,9,0,0,0.136638,0,0,1.01,1,38,0,5,1,9,0,0,10,0,9,0.014478,0,0.017307,0,1.04,10,1.01,0,0,0,0,1.01,0,2.03,0.043804,0,2,0,0,0.019225,9,5,0.052976,1.09,0.145088,0.014294,clean
0,0,0,0,0,0,0.009491,0,0,0,0.740259,0,0,0,0,0,0,12,0,0,0.016145,0,0,0,9,70,0,2,1,0,0,0,1,0,38,0,0,0,3.03,0,9,1.01,0,0,0,0,0,0,3.03,0.000755,3.03,0,0.02407,0.010398,0.019225,9,2,0.018382,0,0.000005,0,clean
1,0,0,5,0,0,0.039174,0,0,0,5.97302,0,0,0,0,0,0,9,0,0,0.27076,0,0,0,4,31,0,6,1,1,0,0,15,0,22,0,0,0,1.01,0,5,1.01,3,0,3,0,0,0,1.01,0.065806,1.01,5,0.001453,0.005149,0.001203,11,5,0.003223,0,0.198475,0,clean
0,0,0,0,0,0,0.016903,0,0,0,3.0742,0,0,0,0,0,0,12,0,0,0.073134,0,0,0,3,41,0,6,3,1,0,1.01,15,0,18,0,0,0,1.01,0,4,0,3,0,3,0,0,0.00406,1.01,0.00472,4.04,0,0.003144,0.013377,0,17,6,0.003648,0,0.001173,0,clean
0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,11,0,0,0,0,0,0,5,45,0,5,2,1,0,0,10,0,15,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,clean
0,0,0,2,0,0,0.038075,0,0,0,4.71817,0,0,0,0,0,0,6,0,0,0.251675,0,0,0,8,47,0,2,1,1,0,0,1,0,12,0,0,0.002488,0,0,9,0,4,0,4,0,0,0,0,0.065434,2.02,2,0,0.00831,0,10,2,0,1.08,0.140904,0,clean
0,0,0.03915,2,0,1.01,0.005452,0,1.01,0.027692,2.46341,0,0,0,0,0,0,10,0,1.01,0.135853,0,0,1.01,4,40,0,3,1,1,0,0,3,0,12,0.030266,0.027312,0.03001,1.01,0,5,2.03,7,0,7,0,0,0,1.02,0.039978,0,2,0.03059,0,0.049832,11,3,0.037887,1.01,0.132707,0,clean
0,0,0.03915,3,0,0,0.016027,0,1.01,0,5.92561,0,0,0,1,0,0,6,0,0,0.2724,0,0,0,2,20,0,4,1,3,0,0,6,0,10,0,0,0,0,0,5,0,3,0,0,0,0,0,1.01,0.063889,3.06,3,0,0.010398,0,18,4,0.037887,0,0.123015,0,buggy
0,0.000679,0.082944,6,0,0,0.070178,0.000449,17.25,0,7.77801,0,0,1.01,0,22,0,3,0,0,0.280119,6.13,0,2.02,0,7,0,4,1,90,0.00885,0,6,0,5,0.002306,0,0.01955,0,1.03,90,2.02,0,0,0,0,1.01,0,17.25,0.052783,3.03,6,0,0.010398,0.002597,9,4,0.089312,3.06,0.140061,0.000642,buggy
2,0.038666,0.019301,21,1.01,10.16,0.729388,0.037227,11.2,0.034085,19.5286,0.002193,2.02,8.27,2,0,0,53,0.003374,5.09,0.739952,0,0,9.39,11,306,0,33,1,19,0,0,528,0,107,0.052569,0.05114,0.049566,5.06,13.13,29,9.67,19,0,8,0,7.24,0,14.25,0.146444,0,21,0.022297,0,0.051475,0,27,0.045863,11.2,0.360125,0.050099,buggy
0,0.001302,0,2,0,1.01,0.004011,0.000995,0,0.001449,1.39384,0,0,1.01,6,0,0,4,0,1.01,0.064392,0,0,1.01,2,21,0,3,1,2,0,0,3,0,6,0.002443,0.00246,0.003135,0,1.02,4,1.01,7,0,1,0,1.01,0,0,0.016152,2.02,2,0,0.00831,0.003446,9,3,0,1.03,0.059927,0.002374,clean
1,0,0.054856,2,0,0,0.047749,0,17.32,0,7.01764,0,0,0,2,0,0,16,0,0,0.233481,0,0,1.02,2,37,0,10,1,72,0,0,45,0,18,0.001624,0,0.001659,0,0,74,0,2,0,0,0,0,0,17.32,0.041808,3.06,2,0,0.010398,0,18,7,0.055812,1.04,0.103884,0,clean
1,0,0,5,0,0,0.319027,0,0,0,8.32875,0,0,0,2,0,0,41,0,0,0.33686,0,0.003039,2.12,10,123,1,5,2,1,0,0,10,1.01,25,0.004713,0,0.004431,2.04,0,11,2.04,2,0,0,0,0,0,2.04,0.070497,4.04,5,0.00412,0.012964,0.004349,19,0,0.005587,2.35,0.139153,0,clean
0,0,0,2,0,0,0.00846,0,0,0,2.5991,0,0,0,0,2,0,14,0,0,0.142869,0,0,0,4,74,1,8,3,2,0,0,28,0,36,0,0,0.017307,1.01,0,6,1.01,9,0,0,0,0,0,1.01,0.041912,1.01,2,0.020279,0.01201,0.019225,16,2,0.015089,1.01,0.141042,0,clean
0,0,0.03915,2,0,0,0.000601,0,1.01,0,1.54522,0,0,0,9,0,0,32,0,0,0.089145,0,0.010266,0,10,189,1,13,2,1,0,0,78,1.01,64,0,0,0.011241,0,0,10,0,9,0,0,0,0,0,0,0.027315,0,2,0,0,0,16,4,0,1.01,0.096226,0,buggy
0,0,0,1,0,0,0.001677,0,0,0,1.18716,0,0,0,0,0,0,13,0,0,0.048688,0,0,0,1,50,0,10,1,3,0,0,45,0,14,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0.010376,0,1,0,0,0,27,10,0,0,0.041747,0,clean
0,0.002984,0.002928,8,0,0,0.080364,0.003137,1.01,0,9.35438,0,0,1.01,0,0,0,6,0,0,3.49127,0,0,4.08,6,66,2,3,2,2,0,0,3,0,41,0.008582,0,0.01014,1.02,1.02,8,5.3,0,0,0,0,1.01,0,1.03,0.092204,2.03,8,0.002985,0.004949,0.010104,39,3,0.003143,5.52,0.146405,0.003155,clean
0,0,0,1,0,0,0.001677,0,0,0,1.18716,0,0,0,0,0,0,3,0,0,0.048688,0,0,0,0,9,0,3,1,2,0,0,3,0,3,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0.010376,0,1,0,0,0,9,2,0,0,0.041747,0,clean
1,0,0,3,0,1.01,0.186243,0,0,0.001334,6.61495,0,0,0,0,0,0,31,0,1.01,0.159497,0,0,1.02,4,98,0,9,3,1,0,1.01,36,0,41,0.001427,0.001458,0.001247,2.02,0,5,1.05,8,0,6,0,0,0.00406,2.02,0.010607,4.04,3,0.004106,0.013377,0.000805,17,7,0.005402,1.01,0.002266,0,clean
2,0.00236,0.001933,2,0,2.05,0.44398,0,1.01,0.004444,6.52069,0,2.03,2.04,0,0,0,17,0.002265,2.05,0.177842,0,0,2.11,4,78,0,8,3,1,0,1.01,28,0,25,0.004298,0.004101,0.003891,3.03,2.38,5,2.31,5,0,5,0,0,0.00406,4.04,0.018049,4.04,2,0.007839,0.013377,0.003666,17,6,0.010842,2.28,0.034398,0.002862,clean
0,0.014068,0.024839,5,0,0,0.252059,0.018433,8.11,0,6.8389,0,0,2.06,0,0,0,23,0,0,0.26789,0,0,2.13,5,76,0,11,1,9,0,0,55,0,21,0.017349,0,0.019951,1.02,2.45,14,2.11,3,0,0,0,2.06,0,9.13,0.056712,3.15,5,0.020279,0.011701,0.022086,27,11,0.041454,2.48,0.169496,0.017157,clean
0,0.006691,0.051546,2,0,0,0.003752,0.006204,3.03,0,1.39384,0,0,2.02,8,0,0,17,0,0,0.064392,0,0,1.01,2,96,0,11,2,5,0,0,55,0,23,0.004139,0,0.004034,0,2.19,7,2.03,8,0,0,0,1.01,0,3.03,0.016152,3.05,2,0,0.010808,0.008866,33,10,0.049523,1.06,0.059927,0.009707,clean
0,0,0,1,0,0,0.00353,0,0,0,2.24283,0,0,0,0,0,0,5,0,0,0.176221,0,0,0,3,34,0,2,1,1,0,0,1,0,15,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0.055584,1.01,1,0,0.005149,0,10,2,0,0,0.114048,0,clean
0,0,0,1,0,0,0.005899,0,0,0,2.3444,0,0,0,0,0,0,1,0,0,0.074714,0,0,0,8,35,0,1,1,0,0,0,0,0,18,0,0,0.002986,0,0,8,1.01,0,0,0,0,0,0,0,0.010205,1.01,1,0,0.005149,0.003086,9,1,0,1.01,0.026201,0,clean
0,0,0,2,0,0,0.032987,0,0,0,5.06437,0,0,0,0,0,0,5,0,0,0.134047,0,0,0,1,39,0,3,2,1,0,0,3,0,8,0,0,0,0,0,2,0,3,0,3,0,0,0,0,0.011733,3.09,2,0,0.010398,0,39,3,0,0,0.009162,0,clean
1,0.002382,0,2,0,1.01,0.00967,0.002501,0,0.0028,2.40151,0,0,1.01,0,0,0,8,0,1.01,0.074362,0,0,1.02,5,36,0,4,1,2,0,0,6,0,17,0.002983,0.003125,0.002986,1.01,1.03,7,1.02,4,0,4,0,1.01,0,1.01,0.009604,2.02,2,0.001164,0.00831,0.003086,9,3,0.002635,1.07,0.022518,0.002888,clean
3,0.026839,0.02559,6,0,0,0.325199,0.000942,6.08,0,14.6136,0,1.03,2.05,0,0,0,42,0.025024,0,3.6437,0,0,2.16,10,140,0,15,2,12,0,0,105,0,75,0.031237,0,0.031043,1.01,2.6,21,3.25,4,0,4,0,1.02,0,6.07,0.12129,3.09,6,0.001313,0.010398,0.042867,39,11,0.030437,2.5,0.2146,0.031959,buggy
0,0,0.03915,3,0,0,0.142628,0,1.02,0,2.62836,0,0,0,0,0,0,64,0,0,0.206049,0,0.018412,1.22,14,174,2,24,2,5,0,0,276,1.01,123,0.00445,0,0.006336,1.01,0,16,1.06,4,0,4,0,0,0,2.03,0.065835,2.03,3,0.00604,0.03425,0.006784,58,19,0.045608,1.19,0.160434,0,buggy
1,0,0,1,0,0,0.00099,0,0,0,1.23854,0,0,0,0,0,0,16,0,0,0.145898,0,0,0,5,61,2,10,3,0,0,0,45,0,24,0,0,0,0,0,5,0,1,0,1,0,0,0,0,0.051922,0,1,0,0,0,55,9,0,0,0.106899,0,clean
0,0.00154,0.001793,1,0,1.1,0.027969,0,1.06,0,3.28866,0,0,1.04,0,4,0,18,0,0,0.087698,0,0,1.15,8,71,2,7,2,6,0,0,21,0,57,0.001624,0.00174,0.001659,1.08,1.18,14,1.54,10,0,0,0,0,0,1.14,0.007742,2.03,1,0.001763,0.004949,0.001591,39,1,0.001851,1.62,0.005271,0.001773,clean
11,0.028205,0.015324,42,4.22,12.26,1.5636,0,3.04,0.028305,13.9297,0.009005,6.12,9.33,19,0,0,177,0.011996,11.4,3.64623,0,0,14.22,27,829,0,70,1,9,0,0,2415,0,263,0.072874,0.063482,0.077767,8.22,27.57,34,15.58,60,0,25,0,0,0,10.22,0.121367,2.02,42,0.050384,0.00831,0.075519,9,0,0.078846,21.58,0.318946,0.035753,buggy
0,0,0,2,0,0,0.037656,0,0,0,2.74289,0,0,0,0,0,0,7,0,0,0.069929,0,0,0,4,34,0,3,1,2,0,0,3,0,14,0,0,0,0,0,6,0,2,0,2,0,0,0,0,0.005624,3.03,2,0,0.010398,0,9,3,0,0,0.004366,0,clean
4,0,0,1,0,0,0.000966,0,0,0,1.17486,0,0,0,0,0,0,15,0,0,0.033753,0,0,0,9,64,0,5,1,0,0,0,10,0,33,0,0,0,0,0,9,0,2,0,2,0,0,0,0,0.003618,2.02,1,0,0.00831,0,9,1,0,0,0.005051,0,clean
0,0,0,2,0,0,0.048616,0,0,0,2.55842,0,0,0,0,0,0,10,0,0,0.089965,0,0,0,2,58,0,8,2,1,0,0,28,0,17,0,0,0,0,0,3,0,7,0,7,0,0,0,0,0.015689,2.02,2,0,0.00831,0,17,0,0,0,0.053001,0,clean
0,0,0,2,0,0,0.014625,0,0,0,2.55041,0,0,0,0,0,0,18,0,0,0.174739,0,0,0,3,60,0,10,1,4,0,0,45,0,30,0,0,0,0,0,7,0,2,0,2,0,0,0,0,0.053311,3.09,2,0,0.010398,0,39,10,0,0,0.10691,0,clean
0,0,0,2,0,0,0.006061,0,0,0,2.76873,0,0,0,3,0,0,24,0,0,0.137154,0,0,0,3,87,0,3,1,1,0,0,3,0,28,0,0,0,0,0,4,1.05,5,0,0,0,0,0,0,0.037311,7.14,2,0,0.041644,0.019225,27,2,0,0,0.113602,0,clean
0,0,0,2,0,0,0.005306,0,0,0,2.2048,0,0,0,4,0,0,18,0,0,0.136638,0,0,2.02,13,130,0,3,2,1,0,0,3,0,35,0.044743,0,0.047316,0,0,14,1.06,6,0,2,0,0,0,0,0.043804,0,2,0,0,0.019225,11,2,0,2.12,0.145088,0,buggy
1,0.002659,0.071829,2,0,1.02,0.043051,0.002116,17.23,0.002525,4.67638,0,1.01,2.03,0,12,0,24,0.003977,1.02,0.132192,6.07,0,3.1,1,89,0,16,1,45,0.007722,0,120,0,37,0.006209,0.003767,0.005928,0,2.42,46,3.11,3,0,3,0,2.02,0,17.23,0.014539,3.06,2,0,0.010398,0.006236,18,15,0.070423,3.32,0.029605,0.003498,clean
0,0,0,1,0,0,0.000966,0,0,0,1.17486,0,0,0,1,0,0,18,0,0,0.033753,0,0,0,1,51,0,12,1,5,0,0,66,0,16,0,0,0,0,0,6,0,5,0,4,0,0,0,0,0.003618,2.02,1,0,0.00831,0,9,9,0,0,0.005051,0,clean
1,0.002881,0.016243,6,0,1.01,0.573647,0.003231,3.16,0,12.8567,0,0,1.02,0,0,0,46,0,0,0.518075,0,0,2.04,12,280,0,15,1,17,0,0,105,0,86,0.003905,0.001765,0.021227,1.02,1.27,29,2.1,7,0,5,0,1.02,0,4.18,0.114258,3.03,6,0.001313,0.010398,0.004019,9,14,0.017793,3.17,0.2776,0.003334,clean
0,0,0,1,0,0,0.000966,0,0,0,1.17486,0,0,0,0,0,0,5,0,0,0.033753,0,0,0,1,19,0,5,2,3,0,0,10,0,9,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0.003618,3.03,1,0,0.011468,0,15,5,0,0,0.005051,0,clean
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,1,53,0,8,1,1,0,0,28,0,16,0,0,0,0,0,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,clean
1,0.026057,0.03915,2,1.01,0,0.034625,0,1.01,0.027692,1.54522,0.020901,0,1.01,1,0,0,43,0,1.01,0.089145,0,0.010266,2.15,14,229,1,10,2,0,0,0,45,1.01,53,0.041513,0,0.041251,2.04,1.1,14,2.32,3,0,2,0,0,0,2.05,0.027315,0,2,0.035827,0,0.041832,16,2,0.049672,3.07,0.096226,0.031012,clean
0,0,0,1,0,0,0.000669,0,0,0,1.17515,0,0,0,0,0,0,3,0,0,0.040252,0,0,0,1,9,0,3,2,4,0,0,3,0,4,0,0,0,0,0,5,0,1,0,1,0,0,0,0,0.006345,1.01,1,0,0.027761,0,11,3,0,0,0.020379,0,clean
0,0,0.006004,0,0,0,0,0,1.05,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,20,0,5,1,6,0,0,10,0,6,0,0,0,0,0,7,0,3,0,3,0,0,0,1.05,0,3.03,0,0,0.010398,0,11,5,0.005699,0,0,0,clean
0,0,0,2,0,0,0.254921,0,0,0,4.01101,0,0,0,0,0,0,3,0,0,0.223297,0,0,0,3,22,0,1,1,0,0,0,0,0,11,0,0,0,2.02,0,3,0,0,0,0,0,0,0,2.02,0.060364,3.03,2,0.003082,0.010398,0,9,1,0.002617,0,0.126469,0,clean
0,0,0.001135,30,0,2.04,1.41357,0,1.01,0.003778,27.817,0,0,0,0,3,0,2,0,2.04,0.914975,1.01,0.010885,0,0,6,2,2,2,1,0.013868,0,1,2.02,2,0,0.003066,0,0,0,1,0,4,0,3,0,0,0,1.01,0.146834,8.12,30,0,0.027347,0,27,2,0.00123,0,0.314159,0,buggy
0,0,0,1,0,0,0.000382,0,0,0,0.60098,0,0,0,0,1,0,17,0,0,0.021936,0,0,0,5,60,0,9,1,1,0,0,36,0,27,0,0,0,0,0,6,0,5,0,5,0,0,0,0,0.003885,0,1,0,0,0,24,9,0,0,0.014134,0,clean
0,0,0,1,0,0,0.005397,0,0,0,2.88097,0,0,0,0,1,0,15,0,0,0.187772,0,0,0,2,50,0,8,1,1,0,0,28,0,18,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0.055174,3.03,1,0,0.010398,0,15,7,0,0,0.108062,0,clean
0,0,0,1,0,0,0.000518,0,0,0,0.792859,0,0,0,4,0,0,7,0,0,0.042456,0,0,0,3,37,0,5,2,1,0,0,10,0,12,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0.012267,0,1,0,0,0,13,5,0,0,0.045793,0,clean
0,0,0,1,0,0,0.000518,0,0,0,0.792859,0,0,0,0,1,0,0,0,0,0.042456,0,0,0,0,0,0,5,1,2,0,0,10,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.012267,0,1,0,0,0,9,0,0,0,0.045793,0,clean
0,0,0,1,0,0,0.013055,0,0,0,3.81886,0,0,0,1,0,0,4,0,0,0.209658,0,0.002308,0,0,11,3,4,2,1,0,0,6,2.02,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.056466,4.04,1,0,0.011292,0,12,4,0,0,0.108135,0,clean
0,0.030581,0.004721,3,0,0,0.111712,0.004774,2.02,0,5.76219,0,0,3.09,0,4,0,31,0,0,0.275178,2.02,0,3.16,10,116,2,16,2,2,0.034341,0,120,0,69,0.035044,0,0.034732,1.04,3.99,12,3.4,0,0,0,0,2.04,0,2.06,0.066004,2.03,3,0.002985,0.004949,0.035119,39,11,0.004994,3.58,0.131628,0.035941,buggy
