ck_oo_numberOfPrivateMethods,LDHH_lcom,LDHH_fanIn,numberOfNonTrivialBugsFoundUntil:,WCHU_numberOfPublicAttributes,WCHU_numberOfAttributes,CvsWEntropy,LDHH_numberOfPublicMethods,WCHU_fanIn,LDHH_numberOfPrivateAttributes,CvsEntropy,LDHH_numberOfPublicAttributes,WCHU_numberOfPrivateMethods,WCHU_numberOfMethods,ck_oo_numberOfPublicAttributes,ck_oo_noc,numberOfCriticalBugsFoundUntil:,ck_oo_wmc,LDHH_numberOfPrivateMethods,WCHU_numberOfPrivateAttributes,CvsLogEntropy,WCHU_noc,LDHH_numberOfAttributesInherited,WCHU_wmc,ck_oo_fanOut,ck_oo_numberOfLinesOfCode,ck_oo_numberOfAttributesInherited,ck_oo_numberOfMethods,ck_oo_dit,ck_oo_fanIn,LDHH_noc,WCHU_dit,ck_oo_lcom,WCHU_numberOfAttributesInherited,ck_oo_rfc,LDHH_wmc,LDHH_numberOfAttributes,LDHH_numberOfLinesOfCode,WCHU_fanOut,WCHU_lcom,ck_oo_cbo,WCHU_rfc,ck_oo_numberOfAttributes,numberOfHighPriorityBugsFoundUntil:,ck_oo_numberOfPrivateAttributes,numberOfMajorBugsFoundUntil:,WCHU_numberOfPublicMethods,LDHH_dit,WCHU_cbo,CvsLinEntropy,WCHU_numberOfMethodsInherited,numberOfBugsFoundUntil:,LDHH_fanOut,LDHH_numberOfMethodsInherited,LDHH_rfc,ck_oo_numberOfMethodsInherited,ck_oo_numberOfPublicMethods,LDHH_cbo,WCHU_numberOfLinesOfCode,CvsExpEntropy,LDHH_numberOfMethods,class
1,0,0.000838,1,0,0,0.002797,0,1.01,0,7.18983,0,0,0,1,0,0,18,0,0,0.174975,0,0.043647,0,3,72,385,6,6,0,0,1.02,15,23.66,16,0,0,0,1.01,0,3,0,1,0,0,0,0,0.001409,2.02,0.01197,5.06,1,0.000996,0.014073,0,79,5,0.00203,0,0.003184,0,clean
0,0.000617,0.000948,13,3.03,3.03,0.043239,0,1.01,0,17.658,0.001721,0,1.01,7,2,0,65,0,0,8.32175,1.01,0.01888,7.3,6,240,61,9,4,3,0.000358,0,36,10.14,53,0.006457,0.002094,0.011799,2.02,1.08,9,3.05,8,0,0,0,0,0,3.03,0.144149,10.15,16,0.001599,0.02165,0.002799,45,5,0.002617,11.45,0.178031,0.000853,buggy
0,0.002658,0.007063,4,0,2.04,0.014835,0.003969,4.04,0.000634,11.8043,0,0,4.08,0,0,0,56,0,1.01,8.17852,0,0.005599,4.16,6,193,9,24,5,11,0,1.01,276,2.05,54,0.003779,0.001764,0.003528,2.03,5.81,17,4.11,10,1,0,0,4.05,0.004395,4.05,0.133889,4.07,7,0.00185,0.004151,0.003588,42,20,0.007179,4.5,0.170366,0.003794,clean
0,0,0,7,0,0,0.030785,0,0,0,11.2897,0,0,0,0,0,0,44,0,0,8.19532,0,0.025373,1.07,5,124,68,9,2,1,0,0,36,14.23,30,0.000694,0,0.000687,1.04,0,5,1.04,1,0,0,0,0,0,1.04,0.147945,4.04,8,0.000687,0.006896,0.000683,33,5,0.000811,1.21,0.223211,0,clean
0,0,0,8,0,0,0.005436,0,0,0,9.64599,0,0,0,0,0,0,27,0,0,8.18241,0,0.001421,0,6,110,95,16,3,1,0,0,120,1.01,59,0,0,0,0,0,6,0,7,0,4,0,0,0,0,0.157858,3.05,9,0,0.004821,0,73,6,0,0,0.233287,0,clean
0,0,0.01277,8,0,0,0.003978,0,6.07,0,7.95479,0,0,0,0,0,0,33,0,0,8.1394,0,0.001421,0,3,127,95,20,3,4,0,0,190,1.01,63,0,0,0,0,0,7,0,7,0,4,0,0,0,6.07,0.154542,2.02,10,0,0.003929,0,82,7,0.012738,0,0.232145,0,clean
0,0,0.00099,2,1.01,1.01,0.006098,0,1.11,0,8.22982,0.000695,0,0,1,0,0,17,0,0,8.14431,0,0,0,3,52,0,10,1,1,0,0,45,0,34,0,0.00067,0.000805,0,0,4,1.01,1,0,0,0,0,0,1.11,0.154538,1.01,3,0,0.001487,0.00083,17,10,0.001007,1.01,0.231997,0,clean
0,0,0,10,0,0,0.023178,0,0,0,17.3206,0,0,0,2,0,2,58,0,0,8.30766,0,0.043647,0,13,253,412,8,5,1,0,1.02,28,23.66,73,0,0,0.001642,1.01,0,14,4.04,2,0,0,2,0,0.001409,1.01,0.140628,5.06,10,0.000996,0.014073,0.003959,94,8,0.001118,2.02,0.157463,0,clean
0,0,0,2,0,0,0.00703,0,0,0,9.22461,0,0,0,0,0,0,19,0,0,0.220489,0,0,1.03,4,56,0,6,1,4,0,0,15,0,16,0.000681,0,0.000708,0,0,7,1.03,3,0,3,0,0,0,0,0.014335,1.01,2,0,0.001487,0.000845,8,6,0,1.09,0.003725,0,clean
10,0.001099,0.005532,38,2.02,2.02,0.231619,0,2.02,0.006522,26.5196,0.001543,2.02,2.02,10,0,3,148,0.001038,1.01,8.69297,0,0.016601,10.74,31,909,12,38,2,7,0,0,703,1.12,331,0.022977,0.009043,0.04121,6.06,2.73,36,13.99,27,4,3,5,0,0,8.09,0.230157,2.03,48,0.01479,0.005047,0.038409,36,24,0.021629,17.81,0.4392,0.001353,buggy
0,0,0,10,1.01,1.01,0.014268,0,0,0,11.17,0.001311,0,0,4,3,1,9,0,0,0.287591,1.01,0.043647,1.02,2,39,380,3,3,0,0.000798,1.02,3,23.65,13,0.001106,0.001116,0.002246,0,0,2,2.06,4,0,0,1,0,0.001409,0,0.023864,2.02,10,0,0.002695,0.001924,38,3,0,2.1,0.021942,0,clean
0,0.00736,0.001278,5,0,0,0.009892,0.005303,1.01,0,8.12682,0,0,2.02,3,0,0,7,0,0,8.15185,0,0,2.02,1,28,0,7,1,4,0,0,21,0,12,0.007223,0,0.00618,1.01,2.11,5,2.07,3,0,0,1,1.01,0,2.02,0.155483,0,5,0.006321,0,0.007697,8,5,0.009516,2.1,0.270428,0.007963,clean
23,0.003901,0,39,1.01,5.13,0.50624,0,0,0.002586,30.0415,0,3.06,4.07,3,0,1,276,0.003816,4.12,0.808926,0,0,11.53,20,1117,0,32,1,2,0,0,496,0,294,0.013778,0.005379,0.014029,3.07,5.99,20,9.64,28,0,24,6,0,0,3.07,0.079613,1.01,40,0.004154,0.001487,0.013499,8,0,0.004355,14.97,0.139015,0.006013,clean
0,0,0,0,0,0,0.000657,0,0,0,1.10349,0,0,0,2,0,0,1,0,0,0.027116,0,0,0,0,4,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0.001886,0,0,0,0,0,8,1,0,0,0.000351,0,clean
0,0.001617,0,7,0,0,0.021094,0,0,0,14.8353,0,0,1.01,0,0,1,21,0,0,8.28236,0,0,1.02,8,83,18,4,2,1,0,0,6,0,48,0.002455,0,0.005232,2.02,1.03,8,3.07,1,1,0,3,0,0,2.02,0.151772,4.04,9,0.010659,0.01375,0.004897,62,2,0.011721,3.12,0.219943,0.002446,clean
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,5,136,10,7,2,1,0,0,21,0,32,0,0,0,0,0,6,0,1,1,1,0,0,0,0,0,0,1,0,0,0,15,1,0,0,0,0,clean
0,0,0,1,0,0,0.014051,0,0,0,4.23122,0,0,0,0,0,0,20,0,0,0.102033,0,0,1.02,2,127,0,8,2,1,0,0,28,0,24,0.000773,0,0.000704,0,0,3,0,8,0,8,0,0,0,0,0.006699,1.01,1,0,0.001487,0,25,7,0,1.08,0.000891,0,clean
0,0,0.000855,5,0,0,0.004269,0,1.01,0,10.9152,0,0,0,5,2,0,37,0,0,8.15351,0,0.042401,0,7,115,56,10,5,10,0,1.02,45,17.12,22,0,0,0,0,0,17,0,5,0,0,0,0,0.001409,1.01,0.131131,25.5,5,0,0.060148,0,197,10,0.000906,0,0.164666,0,buggy
0,0.000617,0.001738,37,1.01,1.01,0.130658,0.000844,2.02,0,30.6378,0.002035,0,1.01,4,5,2,87,0,0,8.71535,0,0.043647,14.27,23,241,396,8,4,17,0,1.02,28,23.65,105,0.028564,0.001871,0.028274,7.08,1.07,38,11.25,4,1,0,4,1.01,0.001409,10.1,0.200719,3.03,41,0.009981,0.002977,0.018972,57,8,0.012616,14.65,0.325189,0.000853,clean
0,0.000558,0,9,0,0,0.005591,0,0,0,11.4275,0,0,1.01,0,0,0,41,0,0,8.21821,0,0.001421,1.01,5,166,95,15,3,1,0,0,105,1.01,76,0.000681,0,0.000708,0,1.14,6,1.02,3,0,2,0,0,0,0,0.15878,3.05,10,0,0.004821,0.000845,73,5,0,1.06,0.232254,0.000688,buggy
0,0,0,2,0,1.01,0.004584,0,0,0.018394,1.29357,0,0,0,0,0,0,11,0,1.01,0.153793,0,0,0,4,44,70,8,8,2,0,0,28,0,19,0,0.018915,0.021371,0,0,5,1.01,4,1,4,0,0,0,0,0.054678,0,2,0,0,0.02163,260,7,0,1.1,0.11188,0,clean
0,0.004874,0.014864,2,1.04,1.04,0.024515,0.005736,1.01,0,5.43024,0.006873,0,1.01,6,0,0,34,0,0,8.03229,0,0,2.15,5,107,5,11,3,1,0,0,55,0,21,0.006873,0.00669,0.005591,2.03,1.1,6,1.03,6,1,0,0,1.01,0,3.04,0.1274,3.05,2,0.006726,0.00753,0.005893,40,11,0.025743,1.47,0.185798,0.005116,clean
0,0,0,2,0,0,0.00353,0,0,0,6.03322,0,0,0,0,1,0,50,0,0,0.159077,0,0.033088,0,4,121,58,10,2,3,0,0,45,4.24,51,0,0,0.001301,0,0,6,0,4,0,4,0,0,0,0,0.01377,0,4,0,0,0,24,1,0,1.01,0.01059,0,clean
0,0.008844,0.002588,7,1.03,4.04,0.085435,0.008665,2.02,0.001296,15.9456,0.000358,0,4.05,0,1,0,37,0,3.1,0.447559,1.01,0.026917,6.24,9,155,18,10,2,1,0.000585,1.01,45,5.42,77,0.017689,0.014949,0.018422,4.06,4.35,10,5.54,5,0,0,0,4.05,0.00026,6.08,0.052925,5.08,9,0.008935,0.010731,0.011829,18,10,0.012562,8.02,0.12159,0.01069,buggy
2,0.029766,0.039109,55,0,1.1,0.435971,0.023098,23.26,0,35.3663,0,1.02,12.18,2,3,1,273,0.003145,0,8.85653,0,0.039372,25.99,11,773,28,57,2,126,0,1.02,1596,15.15,197,0.059715,0.00097,0.06725,3.06,21.3,128,21.91,12,0,0,4,11.17,0.001409,23.27,0.220092,2.02,56,0.006192,0.002695,0.059202,16,54,0.041607,31.02,0.35532,0.037123,buggy
0,0.003005,0.0035,15,1.01,1.01,0.44007,0.004077,3.03,0,14.1223,0.001136,0,4.14,9,1,1,342,0,0,0.347632,1.01,0.001421,10.09,6,1440,8,38,2,19,0,0,703,1.02,84,0.007723,0.001027,0.009088,1.01,8.27,24,6.42,12,0,0,2,4.15,0,3.04,0.024691,4.16,15,0.001096,0.004391,0.007083,46,37,0.003784,21.51,0.008491,0.004235,clean
0,0,0.006842,4,0,0,0.003951,0,1.01,0,5.59671,0,0,0,0,0,0,23,0,0,8.07898,0,0.001421,0,4,87,96,13,4,2,0,0,78,1.01,46,0,0,0,0,0,6,0,4,0,2,0,0,0,1.01,0.149865,4.06,5,0,0.005735,0,88,3,0.006713,0,0.23097,0,clean
0,0,0.004433,13,0,1.02,0.150336,0,5.07,0,17.0375,0,0,0,0,0,0,15,0,0,8.38839,0,0,2.02,11,63,0,6,1,1,0,0,15,0,25,0.00183,0,0.001952,1.01,0,12,1.02,2,1,0,0,0,0,6.08,0.182856,1.01,15,0.000735,0.001487,0.001085,8,6,0.006106,2.08,0.297276,0,clean
0,0.002852,0,3,0,0,0.001637,0,0,0,4.4156,0,0,1.01,0,0,0,8,0,0,0.124288,0,0.021979,1.01,4,29,70,6,5,1,0,0,15,3.16,14,0.002154,0,0.001716,1.01,1.05,5,2.03,1,1,0,0,0,0,1.01,0.013218,8.13,4,0.001104,0.025186,0.003767,264,5,0.001303,1.04,0.023966,0.00303,clean
2,0.001343,0,5,0,0,0.014742,0.001564,0,0,13.0232,0,0,2.02,0,0,0,24,0,0,8.25406,0,0,2.03,7,128,15,6,1,0,0,0,15,0,31,0.001745,0,0.00266,2.03,2.09,7,4.1,13,0,0,0,2.02,0,2.03,0.160592,1.01,6,0.001488,0.001487,0.00351,8,4,0.001591,3.18,0.232006,0.00169,buggy
0,0,0,0,0,0,0.002208,0,0,0,4.07501,0,0,0,0,0,0,1,0,0,0.097153,0,0,0,0,3,2,1,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.006219,3.08,0,0,0.003131,0,33,1,0,0,0.001031,0,clean
0,0,0,11,0,0,0.042135,0,0,0,14.4323,0,0,0,0,2,1,51,0,0,0.34386,0,0,5.12,18,242,0,11,1,5,0,0,55,0,89,0.005166,0,0.004123,2.02,0,22,5.06,5,0,0,2,0,0,2.02,0.021916,2.02,12,0.002091,0.002455,0.004464,8,3,0.001979,4.53,0.003591,0,clean
0,0,0,0,0,0,0.02691,0,0,0,5.07933,0,0,0,0,0,0,14,0,0,0.120678,0,0,0,0,42,0,14,1,0,0,0,91,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007625,1.01,0,0,0.001487,0,22,14,0,0,0.001119,0,clean
0,0,0,4,1.01,1.01,0.017571,0,0,0,7.6133,0.002662,0,0,4,0,0,23,0,0,0.197432,0,0.043647,1.07,7,81,400,9,5,5,0,1.02,36,23.64,32,0.001952,0.002193,0.002092,1.01,0,12,1.02,4,1,0,0,0,0.001409,1.01,0.017007,4.04,4,0.001375,0.003869,0.00225,65,9,0.001371,1.09,0.020443,0,clean
3,0.008897,0.004147,8,0,1.02,0.107001,0.009451,1.01,0.005028,11.4729,0,1.01,2.03,0,0,1,52,0.004869,1.02,8.23713,0,0.006779,3.21,15,216,3,6,2,1,0,1.01,15,1.03,57,0.010444,0.004038,0.009573,2.05,2.12,16,3.18,2,1,2,2,2.02,0.008262,2.06,0.162806,2.05,8,0.009701,0.008092,0.011015,12,3,0.012304,3.74,0.288635,0.009855,clean
0,0.000617,0.006842,12,0,0,0.007795,0.00143,1.01,0,9.64335,0,0,1.02,0,0,0,54,0,0,8.17266,0,0.001421,1.02,7,208,95,24,3,2,0,0,276,1.01,104,0.000839,0,0.000811,1.01,1.45,8,1.04,14,0,8,0,2.02,0,2.02,0.155266,3.05,14,0.000708,0.004821,0.000836,73,12,0.007459,1.06,0.231277,0.000853,clean
1,0.000537,0.021428,7,1.01,1.01,0.040694,0.001069,6.06,0,12.6921,0.000965,0,1.02,6,2,0,49,0,0,0.323213,1.01,0.036902,8.26,11,177,34,10,3,17,0.001667,1.02,45,9.2,41,0.01053,0.000901,0.009326,3.05,1.17,25,5.17,9,0,0,2,1.02,0.001409,7.09,0.026515,4.04,8,0.003897,0.00474,0.00688,24,9,0.021165,7.9,0.029335,0.001051,clean
0,0,0,8,0,0,0.019509,0,0,0,14.4405,0,0,0,2,0,1,140,0,0,8.28677,0,0.043647,2.02,18,551,426,13,7,1,0,1.02,78,23.66,226,0.001713,0,0.001715,3.03,0,19,2.05,2,1,0,1,0,0.001409,3.03,0.160556,7.17,9,0.003153,0.022508,0.0021,124,13,0.003299,2.08,0.249887,0,buggy
0,0,0,21,0,1.01,0.269073,0,0,0.000864,23.6077,0,0,0,10,0,1,84,0,1.01,0.59548,0,0.043647,6.2,19,451,380,6,3,0,0,1.02,15,23.65,172,0.006536,0.000961,0.010675,3.03,0,19,10.38,21,0,11,2,0,0.001409,3.03,0.047734,2.02,24,0.002838,0.002695,0.009514,38,6,0.003141,11.86,0.054208,0,buggy
0,0,0,3,0,0,0.003446,0,0,0,7.42989,0,0,0,0,0,0,10,0,0,0.175082,0,0.016601,1.03,2,28,34,4,5,1,0,0,6,1.12,13,0.000954,0,0.002751,1.01,0,3,2.03,0,0,0,0,0,0,1.01,0.01111,4.04,3,0.000993,0.01375,0.001814,87,1,0.001007,2.07,0.005131,0,clean
0,0,0,4,0,0,0.003746,0,0,0,7.54777,0,0,0,0,0,0,22,0,0,0.175967,0,0,0,7,89,50,16,4,1,0,0,120,0,45,0,0,0,1.01,0,8,2.04,2,0,0,0,0,0,1.01,0.010458,1.04,4,0.00073,0.001487,0.001675,174,7,0.000755,0,0.001139,0,clean
0,0,0,4,0,0,0.024129,0,0,0,9.13341,0,0,0,3,0,0,38,0,0,8.13196,0,0.043647,2.02,7,142,384,6,4,1,0,1.02,15,23.66,44,0.009849,0,0.009419,1.01,0,8,1.01,3,0,0,0,0,0.001409,1.01,0.137633,5.06,5,0.001592,0.014073,0.00124,69,6,0.001394,2.09,0.20024,0,clean
4,0.008567,0.014706,71,2.04,8.36,0.267116,0,3.04,0,29.6783,0.002101,3.06,4.06,4,2,4,426,0.002607,0,0.916961,0,0.030967,17.21,7,1399,78,42,1,6,0,0,861,7.9,329,0.054612,0.01599,0.049048,1.01,6.31,13,11.52,58,2,3,10,0,0,4.05,0.134308,1.01,81,0.002449,0.001487,0.05278,8,1,0.017093,22.75,0.242873,0.01142,buggy
1,0.001008,0.002917,15,0,1.01,0.034972,0.001642,3.03,0.002,11.0206,0,0,1.01,1,3,0,22,0,1.01,0.304144,1.01,0,3.05,8,126,0,8,1,7,0.002037,0,28,0,56,0.006702,0.003204,0.009678,1.01,1.07,15,4.09,6,0,5,0,1.01,0,4.04,0.031931,1.01,19,0.000893,0.001487,0.008377,11,7,0.00429,5.21,0.065242,0.001525,clean
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,55,2,5,5,0,0,1,0,3,0,0,0,0,0,5,0,1,1,1,0,0,0,0,0,0,1,0,0,0,139,2,0,0,0,0,clean
1,0,0.00099,4,0,0,0.006179,0,1.03,0,7.96737,0,0,0,0,4,0,125,0,0,0.186438,0,0,0,11,482,7,53,2,11,0,0,1378,0,194,0,0,0,0,0,21,1.11,24,0,0,0,0,0,1.03,0.011202,1.02,4,0,0.001487,0.000845,35,21,0.001007,0,0.001225,0,clean
0,0,0,1,0,1.01,0.004092,0,0,0.000622,9.12702,0,0,0,0,0,0,4,0,1.01,0.212972,0,0,0,1,18,0,3,1,1,0,0,3,0,8,0,0.00059,0.000708,0,0,2,0,4,0,4,0,0,0,0,0.012638,1.01,1,0,0.001487,0,8,3,0,1.01,0.001058,0,clean
0,0,0,1,0,0,0.002208,0,0,0,4.07501,0,0,0,0,1,0,4,0,0,0.097153,0,0,0,0,12,0,5,1,2,0,0,10,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.006219,1.01,1,0,0.001487,0,8,5,0,0,0.001031,0,clean
0,0,0.003249,1,0,0,0.002208,0,1.01,0,4.07501,0,0,0,0,0,0,1,0,0,0.097153,0,0,0,0,3,4,2,4,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1.01,0.006219,2.04,1,0,0.002666,0,21,0,0.003414,0,0.001031,0,clean
0,0.006679,0.036079,2,3.03,1.01,0.067159,0.010067,7.2,0.006613,11.296,0.004246,0,3.04,1,0,0,13,0,2.02,8.19862,0,0.039372,3.1,5,48,49,7,4,18,0,1.02,21,15.06,23,0.012978,0.000363,0.012816,1.04,3.18,23,3.19,2,0,1,0,3.04,0.001409,8.24,0.147463,24.4,2,0.002385,0.058926,0.012258,148,7,0.043327,3.39,0.234873,0.010027,clean
0,0,0,4,0,0,0.036478,0,0,0,9.07976,0,0,0,0,0,0,15,0,0,8.13654,0,0.048429,3.06,5,59,394,3,6,1,0,1.02,3,24.67,24,0.009285,0,0.009451,1.01,0,6,3.08,0,0,0,0,0,0.001409,1.01,0.138342,5.06,4,0.00298,0.014073,0.009244,102,3,0.002804,3.25,0.206874,0,clean
0,0,0.010167,1,0,0,0.003654,0,1.01,0,5.34312,0,0,0,4,1,0,7,0,0,0.125968,1.01,0.035574,0,3,21,28,5,2,5,0.000292,1.02,10,8.19,12,0,0,0,0,0,8,0,4,0,0,0,0,0.001409,1.01,0.007775,2.02,1,0,0.002695,0,16,5,0.010156,0,0.001071,0,clean
0,0,0.001008,1,0,0,0.023211,0,1.01,0,5.18073,0,0,0,0,0,0,32,0,0,0.120784,0,0,1.01,3,88,0,6,1,1,0,0,15,0,17,0.000695,0,0.000723,0,0,4,1.01,3,0,3,0,0,0,1.01,0.007147,1.01,1,0,0.001487,0.000617,8,6,0.001121,1.08,0.000587,0,clean
0,0.00075,0.004765,31,2.02,1.01,0.109581,0.000744,3.03,0,30.738,0.008082,0,1.01,13,5,3,166,0,0,8.7181,1.01,0.043647,16.54,17,494,384,17,4,5,0.000585,1.02,136,23.66,191,0.028936,0.000725,0.031575,5.05,1.16,22,15.48,13,0,0,3,1.01,0.001409,6.06,0.197734,5.06,37,0.012779,0.014073,0.027891,77,17,0.014286,21.39,0.317602,0.00077,buggy
10,0.002616,0,8,0,2.02,0.383893,0,0,0.001024,13.7363,0,4.04,4.04,0,0,1,265,0.003316,2.02,8.20884,0,0,4.14,13,1585,0,215,1,0,0,0,23005,0,1156,0.003403,0.00133,0.004289,3.04,12.57,13,7,17,0,17,1,0,0,3.04,0.131523,1.01,9,0.002724,0.001487,0.005436,212,205,0.002577,7.5,0.152763,0.003407,buggy
0,0.000472,0,1,0,0,0.003157,0.000441,0,0,6.20089,0,0,1.01,1,0,0,6,0,0,0.147285,0,0.043647,1.01,3,25,397,4,5,1,0,1.02,6,23.65,17,0.000886,0,0.000819,1.01,1.03,4,1.04,2,0,1,0,1.01,0.001409,1.01,0.009281,3.03,2,0.000909,0.002977,0.000743,64,4,0.000912,1.03,0.001259,0.000488,clean
0,0.000647,0,4,0,0,0.00447,0.000862,0,0,7.56137,0,0,1.01,0,3,1,6,0,0,0.176547,0,0,0,2,18,0,10,1,4,0,0,45,0,13,0,0,0,0,1.09,6,1.01,0,0,0,1,1.01,0,0,0.01054,1.01,5,0,0.001487,0.00083,8,8,0,0,0.001155,0.000845,clean
0,0,0,0,0,0,0.002647,0,0,0,6.61333,0,0,0,0,0,0,2,0,0,0.167452,0,0.041172,0,0,7,386,2,7,0,0,1.02,1,22.65,2,0,0,0,0,0,0,0,2,0,0,0,0,0.001409,0,0.013148,5.06,0,0,0.014073,0,86,2,0,0,0.008963,0,clean
